gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000079950,STX7,leiden,leiden 3,0.3887933387264654,3.432372539768673,0.8990825688073395,0.4324334073590278,0.23977666453365531,5.104373305071046e-27,7.431559182319038e-22
ENSG00000135604,STX11,leiden,leiden 2,0.5775815774230388,1.9915550883273752,0.9203747072599532,0.6275504670728692,0.6984277019459145,1.2463159777935315e-146,1.8145363583891584e-141
ENSG00000112096,SOD2,leiden,leiden 2,0.6092335496672894,5.05435648136632,0.9812646370023419,0.6208656938136815,0.7050448759276825,1.733328387896321e-148,2.5235874665060113e-143
ENSG00000127951,FGL2,leiden,leiden 2,0.6401106161291561,16.564428072162947,1,0.6401106161291561,0.9288684150862495,5.352536868955775e-221,7.792865478250092e-216
ENSG00000211751,TRBC1,leiden,leiden 1,0.5339238375288973,3.984868403445673,0.6400679117147708,0.8341674809138474,0.4627146394484297,2.0642677852589194e-97,3.005408753914166e-92
ENSG00000211772,TRBC2,leiden,leiden 1,0.5186384722842025,4.3818865545267185,0.8268251273344652,0.6272650106270949,0.47032752507136666,2.5020445776116577e-99,3.6427767414363645e-94
ENSG00000179144,GIMAP7,leiden,leiden 1,0.5130293501428689,6.550251194823471,0.969439728353141,0.529201904087828,0.4360673427490902,8.153340289270585e-91,1.1870611193954829e-85
ENSG00000213203,GIMAP1,leiden,leiden 1,0.4028525599452896,2.1668420344730843,0.8251273344651953,0.4882307773822543,0.16242708235540984,2.113511493829635e-31,3.077103654096442e-26
ENSG00000196329,GIMAP5,leiden,leiden 1,0.37114656754890907,1.2631534863661993,0.6196943972835314,0.598918707633719,0.2009457127977395,5.506234298583021e-39,8.016636639992991e-34
ENSG00000106565,TMEM176B,leiden,leiden 2,0.6655892775997294,4.4319762832654295,0.990632318501171,0.6718832660403888,0.8778816207295016,1.4839406290419882e-202,2.1604988406348114e-197
ENSG00000002933,TMEM176A,leiden,leiden 2,0.5978417075609085,2.0519711673787198,0.9063231850117096,0.6596341321150075,0.7357234390991534,2.804763717363535e-157,4.083511591383918e-152
ENSG00000136573,BLK,leiden,leiden 3,0.48106744560938575,1.4181821035633806,0.6697247706422018,0.7183061859099048,0.511136371044331,4.519034170723586e-59,6.579352229839883e-54
ENSG00000042980,ADAM28,leiden,leiden 3,0.4554901457719273,1.5758568070318513,0.6422018348623854,0.7092632269877154,0.44256295583363636,1.360825152990786e-50,1.981252556742345e-45
ENSG00000147535,PLPP5,leiden,leiden 3,0.423313908956729,1.8959721451562548,0.6146788990825688,0.688674866810201,0.32371272238791954,1.597559186469366e-36,2.325918370764479e-31
